timestamp,title,url,author,tags,thumbnail,name,claimed,mapClass
8/28/2015 18:23:28,Mediouna Province,https://en.wikipedia.org/wiki/Mediouna_Province,Mediouna Province,morocco; mediouna; grand casablanca; no map,,,,MediounaProvince
8/22/2015 14:30:37,"Melgar, Tolima","https://en.wikipedia.org/wiki/Melgar,_Tolima","Melgar, Tolima",colombia; south america,https://upload.wikimedia.org/wikipedia/commons/7/7d/Colombia_-_Tolima_-_Melgar.svg,,,"Melgar,Tolima"
9/1/2015 17:53:09,"Midtown, Detroit",https://en.wikipedia.org/wiki/Midtown_Detroit,"Midtown, Detroit",michigan; detroit,https://upload.wikimedia.org/wikipedia/commons/b/b4/Detroitareamap2.png,Alex Hill,Yes,"Midtown,Detroit"
8/29/2015 9:55:59,Minneapolis-St Paul Metropolitan Area,https://en.wikipedia.org/wiki/Minneapolis%E2%80%93Saint_Paul,Minneapolis-Saint Paul,"Minnesota, United States",https://upload.wikimedia.org/wikipedia/commons/4/42/Minneapolis%E2%80%93St._Paul%E2%80%93St._Cloud_CSA.png,,,Minneapolis-StPaulMetropolitanArea
8/22/2015 18:10:09,Mistaken Point Ecological Reserve,https://en.wikipedia.org/wiki/Mistaken_Point_Ecological_Reserve,Mistaken Point Ecological Reserve,reserve; ecology; newfoundland; canada; north america,https://upload.wikimedia.org/wikipedia/commons/7/78/Newfoundland_map.png,,,MistakenPointEcologicalReserve
8/22/2015 17:18:49,Mlawula Nature Reserve,https://en.wikipedia.org/wiki/Mlawula_Nature_Reserve,Mlawula Nature Reserve,Mlawula; nature; swaziland; africa; no map,,,,MlawulaNatureReserve
8/28/2015 12:21:34,Moisture Channel,https://en.wikipedia.org/wiki/Snake_River_Plain,Snake River Plain,Hydrography; Pacific Northwest; Idaho; Snake River; Cascades; Yellowstone,https://upload.wikimedia.org/wikipedia/commons/0/03/MoistureChannel.jpg,,,MoistureChannel
8/29/2015 9:41:49,Mongol Empire 1259,https://en.wikipedia.org/wiki/Mongol_Empire,Mongol Empire,Historic; Asia,https://upload.wikimedia.org/wikipedia/commons/f/f4/MongolEmpire.jpg,,,MongolEmpire1259
8/28/2015 14:39:58,"Morocco, Global Locator",https://en.wikipedia.org/wiki/Morocco,Morocco,africa; morocco; nation; no map,,,,"Morocco,GlobalLocator"
8/28/2015 17:11:32,Mountain View Cemetery,"https://en.wikipedia.org/wiki/Mountain_View_Cemetery_%28Oakland,_California%29","Mountain View Cemetery (Oakland, California)","Cemeteries; Visitor Attractions in Oakland, California; Landmarks in the San Francisco Bay Area; Chapel of the Chimes",,,,MountainViewCemetery
8/28/2015 18:13:29,NC Topographic map,https://en.wikipedia.org/wiki/North_Carolina,North Carolina,North Carolina; topographic,https://upload.wikimedia.org/wikipedia/commons/3/39/North_carolina_topographic.jpg,Kelly Wright,Yes,NCTopographicmap
8/22/2015 15:18:29,New Hampshire historical markers,https://en.wikipedia.org/wiki/New_Hampshire_historical_markers,New Hampshire historical markers,new hampshire; usa; no map,,,,NewHampshirehistoricalmarkers
8/29/2015 13:15:31,Niagara Escarpment,https://en.wikipedia.org/wiki/Niagara_Escarpment,Niagara Escarpment,niagara; usa; canada; escarpment; physical geography; michigan; ontario; wisconsin,https://upload.wikimedia.org/wikipedia/commons/1/18/Niagara_Escarpment_map.png,Chris Henrick,Yes,NiagaraEscarpment
8/28/2015 21:24:31,Niagara Peninsula,https://en.wikipedia.org/wiki/Niagara_Peninsula,Niagara Peninsula,canada; niagara,https://upload.wikimedia.org/wikipedia/commons/f/f7/NiagaraPeninsulaLocator.png,Chris Henrick,Yes,NiagaraPeninsula
8/22/2015 13:58:20,Nine Mile Creek Aqueduct,https://en.wikipedia.org/wiki/Nine_Mile_Creek_Aqueduct,Nine Mile Creek Aqueduct,aqueduct; new york; usa; no map,,,,NineMileCreekAqueduct
9/1/2015 1:01:11,No map available,https://en.m.wikipedia.org/wiki/Waldo_lake,Waldo Lake,Oregon; Waldo Lake; Lakes; Northwest United States; no map,,,,Nomapavailable
8/22/2015 14:41:44,No-vote in % per Ukrainian Oblast,"https://en.wikipedia.org/wiki/Ukrainian_independence_referendum,_1991#By_region","Ukrainian independence referendum, 1991",ukraine; election; europe,https://upload.wikimedia.org/wikipedia/commons/a/a4/Ukr_Referendum_1991_No.png,Chris Doscher,Yes,No-votein%perUkrainianOblast
